pubmed_id	abstrct
1861774	The distribution of phenytoin-inducible cytochrome P450 in non-treated mouse brain and spinal cord was analysed immunohistochemically using polyclonal antibodies against phenytoin-induced mouse cerebral microsomal P450. This P450 protein was proved in Ouchterlony [Volk B. et al. (1988) Neurosci. Lett. 84, 219-224], Western blot, and immunohistochemical analyses to be reactive to the specific antibodies and an IgG fraction raised against phenobarbital-induced rat liver microsomal P450IIB1. The phenytoin-induced P450 is designated P450IIB1* because immunologically it is comparable with P450IIB1; however, it has not yet been analysed for other characteristics of this enzyme. Immunocytochemistry was performed on acetone-fixed serial cryosections of the whole brain using the avidin-biotin-peroxidase detection system. Negative controls included incubations with preimmune serum of the immunized animal instead of the primary antibody and preabsorption of the antibody with the corresponding immunogen. The pattern of immunoreactive sites indicates that P450IIB1* is not distributed evenly throughout the CNS. It was found to be restricted to only some cellular populations. The most striking aspect of immunostaining was a predominant reactivity in the evolutionary old brain parts. Neuropil and neuronal staining was found in the spinal cord (motor neurons of the ventral horn), medulla oblongata (hypoglossal nuclei, magnocellular part of the lateral reticular nuclei), pons (trigeminal, facial, cochlear and pontine nuclei), cerebellum (granule cells), midbrain (dorsal raphe nucleus) and limbic lobe (hippocampal pyramidal cells). Neuropil reactivity alone appeared in cerebellar nuclei, midbrain, thalamus, basal ganglia, neopallium and olfactory brain. Generally, pia mater/arachnoid, ependyma, choroid plexus, vascular system and some astrocytic populations were found to be strongly P450IIB1* immunoreactive. In comparison with astroglia, which is characterized by glial fibrillary acidic protein-positiveness, the astrocytes, which are also P450IIB1* reactive, occurred only in subpial and subependymal layers, and in large fiber tracts of the spinal cord and brainstem, where they were attached to the vascular system. Otherwise, the glial fibrillary acidic protein-positive astrocytes were not P450IIB1* immunoreactive in the cerebellar molecular layer (fibers of Bergmann glia), in remaining neuropils and in white matter areas.
1865005	Computer-assisted image analysis was used to map the regional distribution of glial fibrillary acidic protein-immunoreactive (GFAP-IR) astrocytes in the rat forebrain and mesencephalon. A complete survey of packing densities of GFAP-IR structures was performed. Computer maps revealed high values in the outer and inner layers of the cortex, some hippocampal and olfactory bulb layers, prepiriform cortex, dorsal part of the caudate-putamen, globus pallidus, lateral septum, reticular thalamic nucleus, lateral habenular nucleus, circumventricular organs, nuclei of the medial hypothalamus, substantia nigra, interpeduncular nucleus, and mamillary body. These correspond to regions of the embryonic pial and ventricular brain surfaces, which undergo developmental alterations including growth and various forms of internalization. From this we conclude that in the adult brain, astrocytes of high GFAP-IR are derivatives of surface-contact glia, whereas those located in areas having developed by the local thickening of the neural tube wall show reduced or no GFAP-IR.
1884716	Mutant Quaking mice (C57BL/6J) display convulsive tonic-clonic seizures that can be either spontaneous or triggered by manipulation of the animal or by auditory stimulation. Several abnormalities have been found (especially in the noradrenergic system) in the brainstem of this mutant strain. We first verified by electrophysiological recording that the cerebral cortex was not involved in the generation or in the development of these fits. Then we showed that tonic-clonic seizures similar to those obtained in the freely moving animal were triggered by low-threshold (LT, 5-50 microA) or high-threshold (HT, 55-150 microA) stimuli performed during head restraint. LT stimuli were mostly efficient in a number of ponto-bulbar and mesencephalic structures, including several reticular nuclei, the locus coeruleus, the nucleus subcoeruleus and the red nucleus, whereas HT stimuli were generally necessary to trigger fits by stimulating the nuclei pontis, the substantia nigra, the central gray area and the cerebellar nuclei. Seizures were also provoked at the diencephalic level with LT stimulation delivered in the medial thalamic area, the nucleus reticularis thalami and some subthalamic regions (zona incerta, H field of Forel). In contrast, no fits were obtained by stimulating the cerebellar cortex and the inferior colliculus, the ventral and lateral groups of thalamic nuclei or the telencephalic regions (hippocampus, amygdala, caudate nucleus, putamen and cerebral cortex), with the exception of the globus pallidus.
1893255	The sites of the rat brain in which intracerebral administration of carbachol (0.4 microgram/0.5 microliter) elevates the nociceptive threshold to thermic (tail-flick test) and mechanical (calibrated-pinch test) noxious stimuli were examined. An extensive mapping (510 sites) ranging from AP + 10.5 to AP-0.1 mm revealed that antinociception was obtained from 119 sites (23%) widely scattered in the brain, and reached structures distant from, or within the immediate vicinity of the ventricular system. The effects from most placement were demonstrated using the tail-flick test, whereas a smaller proportion (approximately 13%) of sites was effective in reducing the response to mechanical stimuli only. Structures containing sensitive sites include the dorsal raphe nucleus, lateral border of the superior cerebellar peduncle, caudal portion of the superior colliculus, medial geniculate body, habenular complex, amygdala, temporal pole of the ventral hippocampus, rostral aspect of the dorsal hippocampus, lateral septal area, and triangular nucleus of the septum. Analysis of the distribution of responsive sites indicated that they are poorly superposed to the known distribution of opiate-sensitive areas. Most of the structures found to be responsive to carbachol are also known to possess cholinergic receptors and to evoke antinociception following focal electrical stimulation. In various placements, particularly in limbic structures, microinjection of carbachol evoked jumping to mechanical noxious stimulation, hyperexcitability to non-noxious stimuli, convulsive reactions, and other less frequent reactions. On few occasions, however, these changes were accompanied by antinociception.
1903447	We have developed a high specific activity ligand for localization of ATP-sensitive potassium channels in the brain. When brain sections were incubated with [125I]iodoglyburide (N-[2-[[[(cyclohexylamino)carbonyl]amino]sulfonyl]ethyl]-5-125I-2- methoxybenzamide), the ligand bound to a single site with a KD of 495 pM and a maximum binding site density of 176 fmol/mg of tissue. Glyburide was the most potent inhibitor of specific [125I]iodoglyburide binding to rat forebrain sections whereas iodoglyburide and glipizide were slightly less potent. The binding was also sensitive to ATP which completely inhibited binding at concentrations of 10 mM. Autoradiographic localization of [125I]iodoglyburide binding indicated a broad distribution of the ATP-sensitive potassium channel in the brain. The highest levels of binding were seen in the globus pallidus and ventral pallidum followed by the septohippocampal nucleus, anterior pituitary, the CA2 and CA3 region of the hippocampus, ventral pallidum, the molecular layer of the cerebellum and substantia nigra zona reticulata. The hilus and dorsal subiculum of the hippocampus, molecular layer of the dentate gyrus, cerebral cortex, lateral olfactory tract nucleus, olfactory tubercle and the zona incerta contained relatively high levels of binding. A lower level of binding (approximately 3- to 4-fold) was found throughout the remainder of the brain. These results indicate that the ATP-sensitive potassium channel has a broad presence in the rat brain and that a few select brain regions are enriched in this subtype of neuronal potassium channels.
1913722	Angiotensin II (Ang II) receptor binding was localized in rat adrenal gland, kidney, and brain by in vitro autoradiography using the antagonist analogue 125I-[Sar1, Ile8]Ang II and differentiated into type I (AT-1) and type II (AT-2) subtypes using unlabelled non-peptide antagonists specific for Ang II subtypes. AT-1 binding was determined as that remaining in the presence of an excess of the AT-2 antagonist, PD 123177 (10 microM), and AT-2 binding as that remaining in the presence of an excess of the AT-1 antagonist, DUP753 (10 microM). The reducing agent dithiothreitol decreased the binding to AT-1 receptors and enhanced the binding to AT-2 receptors. The rat adrenal gland contains both AT-1 and AT-2 receptors in the ratio of approximately 3:2 in the cortex and 1:9 in the medulla. By contrast, in the kidney only AT-1 receptors were evident in glomeruli, proximal tubule, and inner stripe of the outer medulla. In the brain, the pattern of Ang II receptor subtypes varies greatly from region to region. Many brain structures known to be involved in blood pressure regulation and fluid and electrolyte balance, such as circumventricular organs (including vascular organ of the lamina terminalis, subfornical organ, median eminence, and area postrema), median preoptic nucleus, hypothalamic paraventricular nucleus, and regions in the medulla oblongata involved in autonomic control (nucleus of the solitary tract, dorsal motor nucleus of the vagus, and intermediate reticular nucleus), contain exclusively AT-1 receptors. By contrast, locus coeruleus, lateral septal nuclei, superior colliculus, subthalamic nucleus, many nuclei of the thalamus, and nuclei of the inferior olive contain predominantly AT-2 receptors. The detailed binding characteristics of each subtype were determined by competition studies with a series of antagonists. The pharmacological specificity obtained in kidney, adrenal cortex and adrenal medulla, superior colliculus, and nucleus of the solitary tract produces specificity patterns which confirm the assignments of AT-1 and AT-2 receptors described above. The present study reveals important pharmacological heterogeneity of Ang II receptors in key target organs. The subtype-specific receptor mapping described here is relevant to the understanding of the role of angiotensin peptides in peripheral organs and in the central nervous system and is relevant to the actions of non-peptide Ang II receptor antagonists.
1914151	The present study provides a detailed anatomical description of estrogen target cells in the mouse forebrain and pituitary gland during the sexual imprinting stage of the brain. Six 2-day-old mice (3 males and 3 females) were s.c. injected with 16 alpha-[125I]iodo-11 beta-methoxy-17 beta-estradiol ([125I]MIE2) and two additional mice (one male and one female) were s.c. injected with 1000x unlabeled 17 beta-estradiol 1 h before [125I]MIE2 to check the specificity of estradiol binding. Two hours after injection the mice were decapitated, the brains dissected, frozen sectioned, and processed for thaw mount autoradiography. The highest intensity of nuclear labeling was observed in the preoptic-anterior hypothalamic area, amygdala and cortex entorhinalis. Strong labeling was present in the cerebral cortex and moderate to strong labeling in the lateral septum, bed nucleus of stria terminalis and pituitary gland. Weak to moderate labeling was observed in the bulbus olfactorius, circumventricular organs, basal ganglia, ventral striatum, thalamus, hippocampus and pineal gland. No sex differences were observed in the intensity of labeling and distribution of the estrogen target sites. The topographic distributions of estrogen-concentrating cells in the hypothalamus of the 2-day-old mouse forebrain was similar to the adult pattern but differed prominently in the cerebral cortex, entorhinal cortex and thalamus: the cerebral cortex showed an extensive and intensive labeling, the intensity of labeling in the entorhinal cortex greatly exceeded that observed in the adult and the nucleus anterior medialis thalami was distinctly labeled.
1930749	Our study investigates the distribution of neurophysins (Nph), proteins that are part of the precursors for vasopressin and oxytocin, and calcitonin gene-related peptide (CGRP) in the human brainstem by immunohistochemistry. Both peptides were found in discrete regions of the human hindbrain. Nph could be demonstrated exclusively in fibers and punctate perineural varicosities that were travelling within the mesencephalic central gray, substantia nigra, as well as locus coeruleus, medial longitudinal fascicle, raphe, nucleus of the solitary tract, lateral reticular nucleus and area postrema. A few varicosities were seen in the substantia gelatinosa of the spinal trigeminal tract and its continuation into the dorsal horn of the cervical spinal cord. In contrast to these observations. CGRP-immunoreactive fibers were found to be densest in the spinal tract of the trigeminal nerve and the dorsal horn of the spinal cord. In addition, fibers and varicosities could be demonstrated in numerous distinct brain regions, such as locus coeruleus and subcoeruleus, solitary tract, cuneate nucleus, raphe and periaqueductal gray. CGRP-immunoreactivity was also present in perikarya in the ventral horn of the spinal cord, as well as motor nuclei of cranial nerves, i.e., hypoglossal nucleus, ambiguous nucleus. Our results suggest that Nph-immunoreactivity in the human brainstem may be present predominantly within long fiber projections from hypothalamic neurosecretory nuclei, in analogy to data obtained from rodents, whereas CGRP may play a role in the branchiomotor system as well as in intrinsic or extrinsic projections involved in autonomic regulation and integration of sensory information.
1933285	The effect of morphine tolerance-dependence, protracted and naloxone-precipitated abstinence on the levels of beta-endorphin and methionine-enkephalin in discrete brain regions, spinal cord, pituitary gland and plasma was determined in the male Sprague-Dawley rats. Among the brain regions examined, the levels of beta-endorphin in descending order were: hypothalamus, amygdala, midbrain, hippocampus corpus striatum, pons and medulla and cortex. The levels of beta-endorphin in midbrain, hypothalamus, and pituitary of morphine tolerant-dependent rats were decreased significantly. During protracted withdrawal beta-endorphin levels were decreased in amygdala, spinal cord and pituitary. During naloxone-precipitated abstinence beta-endorphin levels were increased in corpus striatum, midbrain and cortex. In addition, in naloxone-precipitated abstinence beta-endorphin levels were decreased in pituitary gland and hippocampus but increased in plasma. The levels of methionine-enkephalin in brain regions in decreasing order were: corpus striatum, pons and medulla, amygdala, hypothalamus, midbrain, hippocampus and cortex. The levels of methionine-enkephalin in pons and medulla, amygdala, hippocampus and pituitary gland were decreased in morphine tolerant-dependent rats. During protracted abstinence from morphine, methionine-enkephalin levels in spinal cord, amygdala, pons and medulla, midbrain, cortex, corpus striatum and pituitary gland were decreased. The levels of methionine-enkephalin in hypothalamus and corpus striatum of naloxone-precipitated abstinent rats were increased but were decreased in amygdala and pituitary gland. These results suggest that during morphine tolerance-dependence and during protracted abstinence beta-endorphin and methionine-enkephalin levels in discrete brain regions and pituitary gland are decreased.(ABSTRACT TRUNCATED AT 250 WORDS)
1939729	The localization of calretinin in the rat hindbrain was examined immunohistochemically with antiserum against calretinin purified from the guinea pig brain. Calretinin immunoreactivity was found within neuronal elements. The distribution of calretinin-immunoreactive cell bodies and fibers is presented in schematic drawings and summarized in a table. Major calretinin-immunoreactive neurons were found in the lateral and medial geniculate nuclei, substantia nigra, ventral tegmental area, interpeduncular nucleus, periaqueductal gray, mesencephalic trigeminal nucleus, superior and inferior colliculi, pontine nuclei, parabrachial nucleus, dorsal and laterodorsal tegmental nuclei, cochlear nuclei, vestibular nuclei, medullary reticular nuclei, nucleus of the solitary tract, area postrema, substantia gelatinosa of the spinal trigeminal nucleus, and cerebellum. These results show that distinct calretinin-immunoreactive neurons are widely distributed in the rat hindbrain.
1954561	The functional projections from pressor sites in the subfornical organ (SFO) were identified using the 2-deoxyglucose (2-DG) autoradiographic method in urethane-anesthetized, sinoaortic-denervated rats. Autoradiographs of brain and spinal cord sections taken from rats whose SFO was continuously stimulated electrically for 45 min with stereotaxically placed monopolar electrodes (150 microA, 1.5-ms pulse duration, 15 Hz) following injection of tritiated 2-DG were compared with control rats that received intravenous infusions of pressor doses of phenylephrine to mimic the increase in arterial pressure observed during SFO stimulation. Comparisons were also made to autoradiographs from rats in which the ventral fornical commissure (CFV), just dorsal to the SFO, was electrically stimulated. The pressor responses during either electrical stimulation of the SFO or intravenous infusion of phenylephrine were similar in magnitude. On the other hand, stimulation of the CFV did not elicit a significant pressor response. Electrical stimulation of the SFO increased 2-DG uptake, in comparison to the phenylephrine-infused rats, in the nucleus triangularis, septofimbrial nucleus, lateral septal nucleus, nucleus accumbens, bed nucleus of the stria terminalis, dorsal and ventral nucleus medianus (median preoptic nucleus), paraventricular nucleus of the thalamus, hippocampus, supraoptic nucleus, suprachiasmatic nucleus, paraventricular nucleus of the hypothalamus, and the intermediolateral nucleus of and central autonomic area of the thoracic spinal cord. In contrast, in rats whose CFV was stimulated, these nuclei did not demonstrate changes in 2-DG uptake compared with control animals that received pressor doses of phenylephrine. These data have demonstrated some of the components of the neural circuitry likely involved in mediating the pressor responses to stimulation of the SFO and the corrective responses to activation of the SFO by disturbances to circulatory and fluid balance homeostasis.
1955581	The localization of phosphatase inhibitor-1 was investigated in rat brain by use of immunocytochemistry. Studies were performed with an affinity purified IgG raised against purified rabbit skeletal muscle inhibitor-1. In rat brain tissue homogenates, this antibody reacted only with a 29 kDa protein corresponding to inhibitor-1. Immunocytochemical studies with this antibody revealed numerous immunoreactive cell bodies and fibers. The highest concentration of immunoreactive perikarya was observed in the caudate-putamen and nucleus accumbens, and these appeared to be exclusively medium-sized neurons. Other areas containing substantial populations of immunoreactive neurons included the suprachiasmatic nucleus of the hypothalamus, lateral hypothalamus, horizontal limb of the diagonal band of Broca, dentate gyrus of the hippocampal formation, habenula, superior colliculus, claustrum, endopiriform nuclei, and neocortex. The distribution of terminals containing inhibitor-1 coincided with the distribution of terminal fields known to originate from the above regions. Thus, plexuses of immunoreactive axons were seen in the globus pallidus, substantia nigra pars reticulata, paraventricular hypothalamus, dorsal thalamus, CA3 region of the hippocampus, and interpeduncular nucleus. These results demonstrate that phosphatase inhibitor-1, a cyclic AMP-regulated inhibitor of phosphatase-1, is differentially distributed in the rat CNS. Given the widespread role of protein phosphorylation and dephosphorylation in intracellular signal transduction, these results suggest that neurons containing high levels of inhibitor-1 may share common, hitherto unrecognized, properties in terms of neurotransmitter regulation and/or responsiveness.
1963256	A 45-year-old patient with Down's syndrome was autopsied. The brain, weighing 800 g, was small in size, and serial sections revealed generalized gyral atrophy and ventricular dilatation. In the gray matter, there was diffuse neuronal degeneration characterized by numerous neurofibrillary tangles (NFTs), senile plaques and frequent amyloid angiopathy. Histochemical and electron microscopical analyses of these lesions showed no qualitative difference from those in Alzheimer's disease. A topographical study of NFTs showed that they were numerous in the limbic system and cerebral neocortex. Various numbers of NFTs were seen in the olfactory bulb, thalamus, medial geniculate body, innominate substance, putamen, caudate, pallidum, central gray, reticular formation, certain midline nuclei of the brainstem, substantia nigra, red nucleus and dorsal vagal nucleus. This distribution pattern was not different qualitatively from that in Alzheimer's disease, and such a similarity was especially evident in the olfactory bulb, where many tufted and mitral cells as well as anterior olfactory nucleus cells showed NFTs. These common features of brain pathology in Down's syndrome and Alzheimer's disease may be due to a specific gene defect in both diseases.
1967574	The effects of basic fibroblast growth factor (bFGF) on the morphology and the expression of glial fibrillary acidic protein (GFAP) and glutamine synthetase (GS) in cultured astrocytes prepared from various areas of newborn rat brain was studied. The brain was dissected in two ways, either the telencephalon (area A) and the diencephalon (area B) were dissected out of the brain (without olfactory bulbs, mesencephalon and cerebellum) or the brain was cut transversely into 3 parts (areas 1, 2 and 3). Area 1 (the anterior part) included the frontal cortex, the olfactory nuclei, the neostriatum, the accumbens nucleus and the septum; area 2 (the medial part) included the cortex, hippocampus, amygdale, thalamus and hypothalamus, and area 3 (the posterior part) included the occipital cortex, the posterior part of hippocampus and thalamus and the mamillary bodies. Essentially two different morphological aspects were observed. Most cells from areas A, 1 and 3, were flat, large, presented an irregular shape and were loosely arranged; cells from areas B and 2 were essentially polygonal in shape and closely apposed to each other. The various control cultures showed nearly the same immunostaining pattern for GFAP, but different patterns for GS. Most astroglial cells responded to bFGF and became fibrous. The GFAP immunoreaction was intense and localized in the cell bodies and processes of most cells from area A, but essentially in the processes for cells from areas 1 and 2. The immunoreactivity was weaker in cells from areas B and 3. GS-positive cells, heavily and weakly stained, were found in all treated cultures, and very strongly stained cells were located in certain zones of cultures from area A. But GS-negative cells were also seen in these treated cultures as well as in control cultures. Measurements of GS activities revealed no differences. These results indicate that astrocytes from different regions of the brain in primary culture show differences in their responsiveness to bFGF. The astroglial cells from the cerebral cortex and from the thalamus seem to present the highest and the lowest response to bFGF, respectively.
1970946	Using a double-immunostaining technique with cholera toxin (CT) as a retrograde tracer, the authors examined the cells of origin and the histochemical nature of lower brainstem afferents to the cat posterior hypothalamus. The posterior hypothalamus, in particular the lateral hypothalamic area, receives substantial afferent projections from: substantia nigra, peripeduncular nucleus, ventral tegmental area, periaqueductal grey, mesencephalic reticular formation, peribrachial region including the locus coeruleus complex, rostral raphe nuclei and the rostral part of the nucleus magnus. In addition, a moderate number of retrogradely labeled neurons was found in: Edinger-Westphal nucleus, nucleus reticularis pontis oralis, nucleus reticularis magnocellularis, caudal lateral bulbar reticular formation around the nucleus ambiguus and lateral reticular nucleus and the nucleus of the solitary tract. The posterior hypothalamus receives: 1) dopaminergic inputs from A8, A9 and A10 cell groups; 2) noradrenergic inputs from A6 and A7 pontine, as well as A1 and A2 bulbar cell groups; 3) adrenergic inputs from C1 cell group in the caudal medulla; 4) serotoninergic inputs from the rostral raphe nuclei (B6, B7 and B8 cell groups); 5) cholinergic inputs from the peribrachial region of the dorsal pontine tegmentum as well as from the nucleus reticularis magnocellularis of the medulla; 6) peptidergic inputs such as methionine-enkephalin, substance P, corticotropin-releasing factor and galanin that originate mainly in the mesencephalic periaqueductal grey, the dorsal raphe nucleus and the peribrachial region of the dorsal pontine tegmentum.
1976532	Immunohistochemical localization of the catecholamine biosynthetic enzymes tyrosine hydroxylase (TH), dopamine beta-hydroxylase (DBH), and phenylethanolamine N-methyltransferase (PNMT) was employed to reveal the anatomical organization of the A1 noradrenergic cell group in the caudal ventrolateral medulla oblongata of the rat. Subsequently, the supraspinal efferent axonal projections of A1 were investigated with a view to elucidating the anatomical substrates underlying its postulated function in central fluid and cardiovascular homeostasis. Within the caudal medulla, DBH-positive/PNMT-negative (noradrenergic) neurons were observed extending bilaterally through the ventrolateral medullary reticular formation from upper cervical spinal cord levels to the level of the area postrema. At the rostral pole of A1, its neurons intermingled with PNMT-immunoreactive perikarya of the more rostrally situated C1 adrenergic cell group. Discrete injections of the anterogradely transported plant lectin Phaseolus vulgaris leucoagglutinin (PHA-L) into A1 resulted in terminal labeling in a number of presumptive efferent target sites including the nucleus of the solitary tract, rostral ventrolateral medulla, dorsal parabrachial nucleus, Kolliker-Fuse nucleus, central grey, dorsomedial nucleus of the hypothalamus, perifornical region, zona incerta, lateral hypothalamus, paraventricular nucleus of the hypothalamus, supraoptic nucleus, bed nucleus of the stria terminalis, and organum vasculosum of the lamina terminalis. Tissue sections adjacent to those reacted for PHA-L were processed immunohistochemically for DBH to determine if anterogradely labeled terminals were localized in regions that demonstrated appropriate immunoreactivity. The majority of regions in which PHA-L terminal labeling was present also exhibited moderate to intense DBH activity. These experiments provide neuroanatomical evidence for direct efferent pathways from the A1 noradrenergic cell group to a number of supraspinal sites that have been reliably implicated in the neural circuitry underlying the central regulation of fluid and cardiovascular homeostasis. Furthermore, the results suggest a selective anatomical interrelation between A1 and sites in the basal forebrain and hypothalamus in which vasopressinergic neurons have been previously demonstrated. It is postulated that the noradrenergic A1 projections observed in this investigation represent the morphological substrate through which A1 exerts a significant influence on cardiovascular regulatory mechanisms.
1979430	The cellular localization of preprosomatostatin mRNA in the rat brain and sensory ganglia has been examined in detail using a newly developed highly sensitive non-radioactive in situ hybridization histochemistry procedure. An alkaline phosphatase labelled anti-sense 30mer oligodeoxynucleotide probe was used for detection of somatostatin mRNA. This probe readily demonstrated somatostatin gene expression throughout the rat CNS with very high contrast and good cellular localization. As a result, we visualized numerous somatostatin mRNA-positive cells in many CNS areas which had previously not been shown to contain a mRNA signal. This method detected a number of somatostatin mRNA-positive cells, in the mitral cell layer of accessory olfactory bulb, the glomerular layer of the main olfactory bulb, the dorsal part of the lateral septum, superficial gray layer of superior colliculus, inferior colliculus, anterior ventral cochlear nucleus, granular layer and Purkinje cell layer of cerebellum, and substantia gelatinosa of medulla and spinal cord, all areas where signal detection using radiolabelled in situ probes has previously been rather difficult. The principle advantages of the present method include the very precise cellular resolution of signal, the rapid reaction time and low background. The sensitivity of the present method seems to be at least equivalent to most immunocytochemical procedures and more sensitive than most isotopic in situ hybridization methods.
1979436	To evaluate in a development context the effect of congenital hypothyroidism on concentrations of the neurotransmitters norepinephrine, dopamine, and serotonin (5HT) in selected brain areas of the ovine fetus, we studied the effect of thyroidectomy at three ages on the concentrations of these neurotransmitters and their major metabolites, homovanillic acid and 5-hydroxyindoleacetic acid. Fetuses underwent thyroidectomy at 90-95 or 105-115 d gestation (term = 147-150 d) or 1-5 d after birth. Approximately 25 d after thyroidectomy, at d 120-125 or 130-135 of gestation or 25-30 d after birth, respectively, the ewes were killed and fetal brains removed. Neurotransmitters and their metabolites were measured by HPLC with electrochemical detection. Thyroidectomy in the 2nd trimester increased 5HT in five brain areas: anterior hypothalamus, dorsal medial hypothalamus, pons, medulla, and cerebellum. Thyroidectomy in the 3rd trimester increased 5HT in the pons and medulla, increased norepinephrine in the dorsal medial hypothalamus and pons, and increased homovanillic acid in the posterior hypothalamus. Thyroidectomy in the newborn period decreased NE in the anterior hypothalamus, ventral medial hypothalamus, and midbrain, decreased 5-hydroxyindoleactic acid in the posterior hypothalamus, lateral hypothalamus, dorsal medial hypothalamus, and ventral medial hypothalamus, and decreased homovanillic acid in the dorsal medial hypothalamus and ventral medial hypothalamus. From these data we conclude the following: 1) Hypothyroidism causes changes in neurotransmitter concentrations only in selected brain areas of the ovine fetus, rather than causing generalized and similar changes in all brain areas; and 2) 5HT 5-hydroxyindoleacetic acid concentrations are affected more often than the other neurotransmitters evaluated, perhaps because the 5HT neurotransmitter system is developing at these times.
2004621	Norepinephrine (NE) concentrations were measured in 15 discrete areas of the central nervous system of two types of genetically epilepsy-prone rats (GEPRs) and in nonepileptic controls. Both moderate-seizure (GEPR-3) and severe-seizure (GEPR-9) animals had extensive abnormalities in brain NE concentration. Deficits of equal magnitude in GEPR-3s and GEPR-9s were found in the spinal cord, midbrain minus the inferior colliculus, inferior colliculus, hypothalamus, amygdala, hippocampus, occipital + parietal cortex, frontal cortex, and olfactory septum. Because both types of GEPRs share these deficits and share seizure susceptibility, we hypothesize that these areas are candidates for regulation of seizure susceptibility in GEPRs. In addition, because GEPR-9s have more severe seizures than GEPR-3s and because GEPR-9s had greater NE deficits in several brain areas (cerebellum, pons-medulla, thalamus, and possibly the temporal cortex and olfactory bulbs), we hypothesize that these areas may be important in regulation of seizure severity in GEPRs. All animals used in these experiments had been protected from seizure-provoking stimuli and were naive to seizures. Because the abnormalities in NE concentration were present in seizure-predisposed animals that were protected from seizures, we conclude that these abnormalities are important components of the seizure-predisposition characteristic of GEPRs and do not result from seizure experience.
2013650	The topographic organization of neostriatal connections was investigated by axonal transport of horseradish peroxidase, tritiated amino acids, or mixtures of both injected into the neostriatum of macaque monkeys. Striatal projections to pallidum and substantia nigra and the origin of projections to striatum from cerebral cortex and substantia nigra were examined. All striatal injections gave rise to projections to external and internal pallidum and to substantia nigra. Injections in caudate nucleus and in putamen both gave rise to substantial projections to pallidum and to substantia nigra, and the ratio of pallidal and nigral projections was generally similar. The striatopallidal projection showed prominent arborizations at right angles to the striatofugal pathway traversing the pallidum, forming in this manner terminal fields consisting of multiple bands or discs within a broad segment of the pallidum. Thus separate but neighboring regions of striatum appeared to have overlapping pallidal projection territories. In broad terms, rostral striatum projects to rostral pallidum, caudal striatum to caudal pallidum, and dorsal and ventral striatum, respectively, to dorsal and ventral pallidum. Inner (medial) and outer (lateral) putamen showed only subtle differences in pallidal projection patterns. The striatonigral projection from each injected area of striatum formed a longitudinal band extending over the entire length of the substantia nigra, with scattered, dense terminal fields occupying portions of pars compacta as well as pars reticularis. Rostral striatum projected to medial nigra and caudal striatum to lateral nigra. Terminal fields from ventral striatum were located somewhat more dorsally in the substantia nigra than those from dorsal striatum. Neighboring but separate regions of striatum appeared to have overlapping nigral projection territories, especially in caudal nigra. The nigrostriatal neurons projecting to an injected area of striatum generally were located in the same longitudinal band of the substantia nigra as the corresponding striatonigral projection. Labeled pars compacta neurons were often surrounded by a dense, labeled striatonigral terminal field, suggesting the existence of a striato-nigrostriatal loop. The rostromedial pars compacta contained labeled neuronal cell bodies in most cases, suggesting a widely divergent projection to striatum from this cell group. A slight tendency for preferential cell labeling rostrally in nigra with rostral striatal injection and caudally in nigra with caudal injections was noted. The preferred relationship of lateral nigra with caudal striatum and medial nigra with rostral striatum has implications for clinical expression of Parkinson's disease, which may vary with differential involvement of different nigral cell groups along the medial to lateral axis.(ABSTRACT TRUNCATED AT 400 WORDS)
2016418	The distribution of cells containing mRNA encoding cholecystokinin was studied in the rat central nervous system by in situ hybridization histochemistry. Cholecystokinin mRNA containing neurons were considerably more numerous than the cholecystokinin-like immunoreactive neurons detected by immunocytochemistry even after colchicine pretreatment and appeared to be heavily, moderately, or lightly labeled. Such neurons were present in the olfactory bulb, olfactory nuclei, layers II-III and V-VI of the cerebral cortex, amygdaloid nuclei, subiculum, hippocampus, claustrum, endopiriform nucleus, several hypothalamic nuclei, most of the thalamic nuclei, ventral tegmental area, substantia nigra, interfascicularis nucleus, linearis rostralis, central gray, Edinger-Westphal nucleus, superior and inferior colliculi, parabrachial nucleus, reticular formation, raphe nuclei, and spinal trigeminal nucleus. This distribution partly confirmed and partly extended the previous immunohistochemical descriptions. Several brain areas such as the thalamus and the colliculi contain cholecystokinin mRNA but are devoid of perikarya exhibiting cholecystokinin-like immunoreactivity. The cerebral cortex and the hippocampus present a far higher density of cholecystokinin mRNA containing cells, including pyramidal neurons, than of perikarya containing cholecystokinin-like immunoreactivity. These results suggest that cholecystokinin or cholecystokinin-related peptides could have a functional role in numerous cerebral pathways including long projections such as cortical or thalamic projections.
